epoch,train_loss,validation_loss
594,0.0671196156,0.0793727701
595,0.0671030822,0.0793515594
596,0.0670865820,0.0793303798
597,0.0670701148,0.0793092313
598,0.0670536806,0.0792881137
599,0.0670372793,0.0792670270
600,0.0670209109,0.0792459711
601,0.0670045752,0.0792249459
602,0.0669882722,0.0792039514
603,0.0669720018,0.0791829874
604,0.0669557639,0.0791620539
605,0.0669395585,0.0791411508
606,0.0669233854,0.0791202780
607,0.0669072446,0.0790994355
608,0.0668911361,0.0790786232
609,0.0668750596,0.0790578410
610,0.0668590152,0.0790370888
611,0.0668430029,0.0790163666
612,0.0668270224,0.0789956743
613,0.0668110737,0.0789750117
614,0.0667951568,0.0789543789
615,0.0667792716,0.0789337758
616,0.0667634180,0.0789132022
617,0.0667475959,0.0788926582
618,0.0667318053,0.0788721436
619,0.0667160460,0.0788516584
620,0.0667003181,0.0788312025
621,0.0666846214,0.0788107758
622,0.0666689558,0.0787903782
623,0.0666533213,0.0787700098
624,0.0666377178,0.0787496703
625,0.0666221453,0.0787293598
626,0.0666066035,0.0787090781
627,0.0665910926,0.0786888253
628,0.0665756124,0.0786686012
629,0.0665601628,0.0786484057
630,0.0665447438,0.0786282388
631,0.0665293553,0.0786081004
632,0.0665139972,0.0785879905
633,0.0664986694,0.0785679090
634,0.0664833719,0.0785478557
635,0.0664681046,0.0785278307
636,0.0664528674,0.0785078339
637,0.0664376603,0.0784878652
638,0.0664224831,0.0784679245
639,0.0664073359,0.0784480118
640,0.0663922185,0.0784281270
641,0.0663771309,0.0784082700
642,0.0663620729,0.0783884407
643,0.0663470446,0.0783686392
644,0.0663320458,0.0783488653
645,0.0663170765,0.0783291190
646,0.0663021366,0.0783094001
647,0.0662872261,0.0782897087
648,0.0662723448,0.0782700447
649,0.0662574927,0.0782504080
650,0.0662426698,0.0782307985
651,0.0662278759,0.0782112161
652,0.0662131109,0.0781916609
653,0.0661983749,0.0781721327
654,0.0661836678,0.0781526315
655,0.0661689894,0.0781331572
656,0.0661543397,0.0781137097
657,0.0661397187,0.0780942891
658,0.0661251262,0.0780748951
659,0.0661105623,0.0780555278
660,0.0660960267,0.0780361871
661,0.0660815196,0.0780168729
662,0.0660670407,0.0779975852
663,0.0660525900,0.0779783239
664,0.0660381675,0.0779590890
665,0.0660237731,0.0779398803
666,0.0660094067,0.0779206978
667,0.0659950683,0.0779015415
668,0.0659807578,0.0778824113
669,0.0659664750,0.0778633071
670,0.0659522200,0.0778442288
671,0.0659379928,0.0778251765
672,0.0659237931,0.0778061501
673,0.0659096209,0.0777871494
674,0.0658954763,0.0777681744
675,0.0658813591,0.0777492252
676,0.0658672692,0.0777303015
677,0.0658532066,0.0777114033
678,0.0658391712,0.0776925307
679,0.0658251629,0.0776736835
680,0.0658111818,0.0776548616
681,0.0657972276,0.0776360651
682,0.0657833004,0.0776172938
683,0.0657694001,0.0775985477
684,0.0657555267,0.0775798268
685,0.0657416799,0.0775611309
686,0.0657278599,0.0775424600
687,0.0657140665,0.0775238141
688,0.0657002996,0.0775051931
689,0.0656865593,0.0774865969
690,0.0656728454,0.0774680255
691,0.0656591578,0.0774494788
692,0.0656454966,0.0774309569
693,0.0656318615,0.0774124595
694,0.0656182527,0.0773939867
695,0.0656046700,0.0773755383
696,0.0655911133,0.0773571145
697,0.0655775825,0.0773387150
698,0.0655640778,0.0773203398
699,0.0655505988,0.0773019889
700,0.0655371457,0.0772836623
701,0.0655237182,0.0772653598
702,0.0655103165,0.0772470814
703,0.0654969403,0.0772288271
704,0.0654835897,0.0772105967
705,0.0654702646,0.0771923904
706,0.0654569648,0.0771742079
707,0.0654436905,0.0771560492
708,0.0654304414,0.0771379143
709,0.0654172175,0.0771198032
710,0.0654040188,0.0771017157
711,0.0653908452,0.0770836518
712,0.0653776967,0.0770656115
713,0.0653645731,0.0770475947
714,0.0653514744,0.0770296014
715,0.0653384006,0.0770116315
716,0.0653253516,0.0769936849
717,0.0653123274,0.0769757617
718,0.0652993278,0.0769578616
719,0.0652863528,0.0769399848
720,0.0652734023,0.0769221311
721,0.0652604764,0.0769043005
722,0.0652475749,0.0768864930
723,0.0652346977,0.0768687084
724,0.0652218449,0.0768509468
725,0.0652090163,0.0768332080
726,0.0651962119,0.0768154921
727,0.0651834316,0.0767977990
728,0.0651706754,0.0767801286
729,0.0651579432,0.0767624808
730,0.0651452350,0.0767448557
731,0.0651325506,0.0767272532
732,0.0651198901,0.0767096732
733,0.0651072534,0.0766921157
734,0.0650946403,0.0766745806
735,0.0650820509,0.0766570679
736,0.0650694852,0.0766395775
737,0.0650569429,0.0766221094
738,0.0650444241,0.0766046635
739,0.0650319288,0.0765872398
740,0.0650194568,0.0765698383
741,0.0650070081,0.0765524588
742,0.0649945827,0.0765351013
743,0.0649821804,0.0765177658
744,0.0649698013,0.0765004523
745,0.0649574453,0.0764831606
746,0.0649451122,0.0764658908
747,0.0649328021,0.0764486428
748,0.0649205150,0.0764314165
749,0.0649082506,0.0764142119
750,0.0648960091,0.0763970289
751,0.0648837903,0.0763798676
752,0.0648715941,0.0763627278
753,0.0648594206,0.0763456095
754,0.0648472696,0.0763285127
755,0.0648351411,0.0763114372
756,0.0648230351,0.0762943832
757,0.0648109515,0.0762773504
758,0.0647988902,0.0762603389
759,0.0647868512,0.0762433487
760,0.0647748344,0.0762263796
761,0.0647628397,0.0762094317
762,0.0647508672,0.0761925048
763,0.0647389167,0.0761755990
764,0.0647269883,0.0761587141
765,0.0647150817,0.0761418503
766,0.0647031971,0.0761250073
767,0.0646913343,0.0761081852
768,0.0646794933,0.0760913838
769,0.0646676740,0.0760746033
770,0.0646558764,0.0760578435
771,0.0646441004,0.0760411043
772,0.0646323459,0.0760243858
773,0.0646206130,0.0760076879
774,0.0646089015,0.0759910105
775,0.0645972114,0.0759743536
776,0.0645855427,0.0759577172
777,0.0645738952,0.0759411012
778,0.0645622690,0.0759245056
779,0.0645506640,0.0759079302
780,0.0645390801,0.0758913752
781,0.0645275173,0.0758748404
782,0.0645159755,0.0758583258
783,0.0645044546,0.0758418313
784,0.0644929547,0.0758253570
785,0.0644814757,0.0758089027
786,0.0644700175,0.0757924684
787,0.0644585800,0.0757760541
788,0.0644471632,0.0757596598
789,0.0644357671,0.0757432853
790,0.0644243916,0.0757269307
791,0.0644130367,0.0757105960
792,0.0644017022,0.0756942809
793,0.0643903882,0.0756779856
794,0.0643790946,0.0756617100
795,0.0643678213,0.0756454541
796,0.0643565683,0.0756292177
797,0.0643453356,0.0756130009
798,0.0643341230,0.0755968036
799,0.0643229306,0.0755806258
800,0.0643117583,0.0755644674
801,0.0643006060,0.0755483284
802,0.0642894737,0.0755322088
803,0.0642783613,0.0755161085
804,0.0642672688,0.0755000275
805,0.0642561961,0.0754839657
806,0.0642451433,0.0754679231
807,0.0642341101,0.0754518996
808,0.0642230966,0.0754358953
809,0.0642121028,0.0754199100
810,0.0642011285,0.0754039438
811,0.0641901738,0.0753879965
812,0.0641792386,0.0753720682
813,0.0641683228,0.0753561588
814,0.0641574263,0.0753402683
815,0.0641465492,0.0753243967
816,0.0641356914,0.0753085438
817,0.0641248528,0.0752927097
818,0.0641140334,0.0752768943
819,0.0641032332,0.0752610976
820,0.0640924520,0.0752453195
821,0.0640816899,0.0752295601
822,0.0640709467,0.0752138192
823,0.0640602225,0.0751980968
824,0.0640495172,0.0751823929
825,0.0640388308,0.0751667075
826,0.0640281631,0.0751510404
827,0.0640175142,0.0751353918
828,0.0640068840,0.0751197615
829,0.0639962724,0.0751041494
830,0.0639856794,0.0750885557
831,0.0639751050,0.0750729802
832,0.0639645491,0.0750574228
833,0.0639540117,0.0750418836
834,0.0639434927,0.0750263625
835,0.0639329921,0.0750108595
836,0.0639225097,0.0749953745
837,0.0639120457,0.0749799076
838,0.0639015998,0.0749644586
839,0.0638911722,0.0749490275
840,0.0638807627,0.0749336143
841,0.0638703713,0.0749182190
842,0.0638599979,0.0749028415
843,0.0638496425,0.0748874817
844,0.0638393050,0.0748721398
845,0.0638289855,0.0748568155
846,0.0638186838,0.0748415089
847,0.0638083999,0.0748262199
848,0.0637981338,0.0748109486
849,0.0637878854,0.0747956948
850,0.0637776547,0.0747804586
851,0.0637674416,0.0747652398
852,0.0637572461,0.0747500385
853,0.0637470681,0.0747348547
854,0.0637369076,0.0747196882
855,0.0637267646,0.0747045391
856,0.0637166390,0.0746894073
857,0.0637065307,0.0746742929
858,0.0636964397,0.0746591956
859,0.0636863660,0.0746441156
860,0.0636763096,0.0746290528
861,0.0636662703,0.0746140071
862,0.0636562481,0.0745989785
863,0.0636462430,0.0745839670
864,0.0636362550,0.0745689726
